Timestamp,Measurement,Iteration,field (Tm),std,glTF  (Tm/kA),current
20241004_144628,scan_XCO,1,0.4506330239895451,0.0003966375830832783,18.0030937622252,25.03086580235898
20241004_144724,scan_XCO,1,0.4503282940633784,3.07424302503293e-05,18.0005310847691,25.01750042499677
20241004_144820,scan_XCO,1,0.4501046703006744,0.0002129098125550559,17.98426653473656,25.02769125620433
20241004_144917,scan_XCO,1,0.4497041159241023,0.000227215638209407,17.9729296980041,25.0211915074726
20241004_145013,scan_XCO,1,0.4489326699424006,0.0002119860351525691,17.93458519167611,25.03167289036389
20241004_145109,scan_XCO,1,0.448808376819074,0.0004506927968230164,17.93379074723243,25.02585109555463
20241004_145205,scan_XCO,1,0.4480616842779599,0.0004363432677777134,17.90251434933533,25.02786343498141
20241004_145301,scan_XCO,1,0.4475939795689746,4.435585591499049e-05,17.8744353929769,25.04101358887342
20241004_145357,scan_XCO,1,0.4478512377781613,0.0003127098970102307,17.89716855241849,25.0235804879673
20241004_145453,scan_XCO,1,0.447620727620262,1.78982484349424e-05,17.88807222392379,25.0234190703684
20241004_145549,scan_XCO,1,0.4474818830478287,0.0001291195495261504,17.87847178286229,25.02909020874871
20241004_145645,scan_XCO,1,0.4468605480056251,0.0002676904285629621,17.85476805044411,25.02751907743265
20241004_145742,scan_XCO,1,0.4462097514569756,0.0002104712570563339,17.82734673341893,25.02950989451033
20241004_145838,scan_XCO,1,0.445380912555946,0.0001377027477188632,17.79476781262762,25.02875661237301
20241004_145934,scan_XCO,1,0.4457213866884653,0.0003486288589872463,17.80910620899949,25.02772353972647
20241004_150030,scan_XCO,1,0.445336992196347,0.0002938882895843592,17.79132249459436,25.03113483169429
20241004_150127,scan_XCO,1,0.4445733629866397,0.0003838850368788271,17.76202182310854,25.02943456629729
20241004_150223,scan_XCO,1,0.4439741096578378,0.0001714154281574853,17.73365009164543,25.03568680804186
20241004_150319,scan_XCO,1,0.4436027125173035,0.0003497719934086704,17.72139001084437,25.0320495314333
20241004_150415,scan_XCO,1,0.4436110404017517,0.0001908897904635177,17.72663036886149,25.02511933576484
20241004_150511,scan_XCO,1,0.4434132718718684,6.70131318647305e-05,17.71923807709097,25.02439833714707
20241004_150607,scan_XCO,1,0.4431272597035656,0.0001525639789429715,17.71384937302046,25.01586472664052
20241004_150703,scan_XCO,1,0.4429764336213397,0.0001618374028451638,17.70494884546323,25.01992168900557
20241004_150759,scan_XCO,1,0.4420562852921413,0.0002681052787995528,17.66223167717335,25.02833692661016
20241004_150856,scan_XCO,1,0.4416764240171637,0.0004988793804278706,17.6430263756358,25.03405110968367
20241004_150952,scan_XCO,1,0.4416544940107143,8.322975203998827e-05,17.64676245152974,25.02750831625938
20241004_151048,scan_XCO,1,0.4413931931536404,0.0001711215288307088,17.63803586533409,25.02507629101477
20241004_151144,scan_XCO,1,0.4408098389601475,3.568133811359641e-05,17.61209708308428,25.02881041823962
20241004_151240,scan_XCO,1,0.4402625503642678,0.0001857892840227088,17.58750849945852,25.03268444065415
20241004_151336,scan_XCO,1,0.4396684541493375,0.0001573273857628159,17.56934208861244,25.02475345586835
20241004_151432,scan_XCO,1,0.4392275776232646,0.0001239937399698472,17.54547727238276,25.03366370743447
20241004_151528,scan_XCO,1,0.4393504349700749,7.859536866081673e-05,17.55033969185135,25.03372827444851
20241004_151624,scan_XCO,1,0.4390554333470066,0.0002018855631529643,17.54809031305331,25.02012615130042
20241004_151720,scan_XCO,1,0.4383579092604355,0.0002913603136141244,17.51395959729511,25.02905792520707
20241004_151816,scan_XCO,1,0.43786983208832,0.0001278170263406299,17.49708464115423,25.02530227569586
20241004_151912,scan_XCO,1,0.4375584494162464,6.879909311882046e-05,17.4913736661737,25.01567102545147
20241004_152008,scan_XCO,1,0.4373260890746367,0.0003194245882037695,17.49318470170291,24.99979829470755
20241004_152105,scan_XCO,1,0.4366281555550873,2.039558455276768e-05,17.44583988091122,25.02763745028031
